,Finish,Start,Car #,Make
763,16,17,31.0,Chevrolet
764,17,10,16.0,Ford
765,18,40,93.0,Toyota
766,19,39,32.0,Ford
767,20,20,21.0,Ford
768,21,15,2.0,Ford
769,22,38,34.0,Ford
770,23,34,47.0,Toyota
771,24,43,33.0,Chevrolet
772,25,37,35.0,Ford
773,26,25,9.0,Ford
774,27,42,87.0,Toyota
775,28,36,95.0,Ford
776,29,12,99.0,Ford
777,30,41,83.0,Toyota
778,31,29,7.0,Chevrolet
779,32,4,5.0,Chevrolet
780,33,2,20.0,Toyota
781,34,23,24.0,Chevrolet
782,35,33,51.0,Chevrolet
783,36,24,11.0,Toyota
784,37,35,30.0,Toyota
785,38,30,43.0,Ford
786,39,14,42.0,Chevrolet
787,40,18,22.0,Ford
788,41,5,56.0,Toyota
789,42,31,98.0,Ford
790,43,6,27.0,Chevrolet
792,1,13,55.0,Toyota
793,2,4,18.0,Toyota
794,3,9,31.0,Chevrolet
795,4,1,2.0,Ford
796,5,17,43.0,Ford
797,6,43,48.0,Chevrolet
798,7,18,29.0,Chevrolet
799,8,6,99.0,Ford
800,9,12,20.0,Toyota
801,10,5,24.0,Chevrolet
802,11,8,5.0,Chevrolet
803,12,11,1.0,Chevrolet
804,13,20,15.0,Toyota
805,14,3,88.0,Chevrolet
806,15,22,16.0,Ford
807,16,19,56.0,Toyota
808,17,14,27.0,Chevrolet
809,18,24,38.0,Ford
810,19,29,34.0,Ford
811,20,42,30.0,Toyota
812,21,7,11.0,Toyota
813,22,26,51.0,Chevrolet
814,23,39,7.0,Chevrolet
815,24,10,42.0,Chevrolet
816,25,38,87.0,Toyota
817,26,16,14.0,Chevrolet
818,27,33,47.0,Toyota
819,28,27,83.0,Toyota
820,29,40,36.0,Chevrolet
821,30,37,32.0,Ford
822,31,2,78.0,Chevrolet
823,32,36,33.0,Chevrolet
824,33,21,9.0,Ford
825,34,23,17.0,Ford
826,35,35,35.0,Ford
827,36,28,13.0,Ford
828,37,32,10.0,Chevrolet
829,38,31,93.0,Toyota
830,39,15,39.0,Chevrolet
831,40,25,22.0,Ford
832,41,41,52.0,Toyota
833,42,30,98.0,Ford
834,43,34,19.0,Toyota
836,1,1,39.0,Chevrolet
837,2,2,48.0,Chevrolet
838,3,7,5.0,Chevrolet
839,4,5,14.0,Chevrolet
840,5,13,20.0,Toyota
841,6,15,88.0,Chevrolet
842,7,9,24.0,Chevrolet
843,8,11,22.0,Ford
844,9,8,42.0,Chevrolet
845,10,19,18.0,Toyota
846,11,38,56.0,Toyota
847,12,23,27.0,Chevrolet
848,13,3,99.0,Ford
849,14,6,78.0,Chevrolet
850,15,18,1.0,Chevrolet
851,16,10,9.0,Ford
852,17,21,43.0,Ford
853,18,4,11.0,Toyota
854,19,24,29.0,Chevrolet
855,20,17,15.0,Toyota
856,21,12,2.0,Ford
857,22,14,51.0,Chevrolet
858,23,26,55.0,Toyota
859,24,27,16.0,Ford
860,25,25,17.0,Ford
861,26,20,33.0,Chevrolet
862,27,30,13.0,Ford
863,28,28,21.0,Ford
864,29,31,83.0,Toyota
865,30,33,10.0,Chevrolet
866,31,22,93.0,Toyota
867,32,35,98.0,Ford
868,33,29,40.0,Chevrolet
869,34,36,34.0,Ford
870,35,42,38.0,Ford
871,36,34,47.0,Toyota
872,37,41,7.0,Chevrolet
873,38,32,35.0,Ford
874,39,39,36.0,Chevrolet
875,40,37,30.0,Toyota
876,41,40,87.0,Toyota
877,42,43,32.0,Ford
878,43,16,31.0,Chevrolet
880,1,18,5.0,Chevrolet
881,2,22,24.0,Chevrolet
882,3,5,78.0,Chevrolet
883,4,4,39.0,Chevrolet
884,5,25,88.0,Chevrolet
885,6,11,2.0,Ford
886,7,6,22.0,Ford
887,8,2,18.0,Toyota
888,9,20,14.0,Chevrolet
889,10,7,16.0,Ford
890,11,3,99.0,Ford
891,12,8,9.0,Ford
892,13,1,48.0,Chevrolet
893,14,16,15.0,Toyota
894,15,26,56.0,Toyota
895,16,12,1.0,Chevrolet
896,17,14,29.0,Chevrolet
897,18,28,55.0,Toyota
898,19,33,47.0,Toyota
899,20,10,43.0,Ford
900,21,30,34.0,Ford
901,22,24,20.0,Toyota
902,23,32,7.0,Chevrolet
903,24,29,13.0,Ford
904,25,36,36.0,Chevrolet
905,26,23,93.0,Toyota
906,27,41,32.0,Ford
907,28,19,42.0,Chevrolet
908,29,38,40.0,Chevrolet
909,30,31,30.0,Toyota
910,31,35,83.0,Toyota
911,32,21,27.0,Chevrolet
912,33,15,51.0,Chevrolet
913,34,17,17.0,Ford
914,35,34,10.0,Chevrolet
915,36,13,31.0,Chevrolet
916,37,39,87.0,Toyota
917,38,43,33.0,Chevrolet
918,39,37,38.0,Ford
